127.0.0.1 - - [10/Jun/2025:13:13:28 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:29 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:33 +0530] "GET /Student_management_systems/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:33 +0530] "GET /Student_management_systems/AdminLogin.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:35 +0530] "POST /Student_management_systems/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:35 +0530] "GET /Student_management_systems/AdminDashboard.jsp HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:37 +0530] "GET /Student_management_systems/ViewStudentsServlet HTTP/1.1" 200 15757
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:39 +0530] "GET /Student_management_systems/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:13:39 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:03 +0530] "GET /Student_management_systems/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:03 +0530] "GET /Student_management_systems/login.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:06 +0530] "GET /Student_management_systems/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:06 +0530] "GET /Student_management_systems/AdminLogin.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:08 +0530] "POST /Student_management_systems/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:08 +0530] "GET /Student_management_systems/AdminDashboard.jsp HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:09 +0530] "GET /Student_management_systems/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:09 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:24:11 +0530] "GET /Student_management_systems/AddStudent.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:25 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:26 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:26 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:26 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:26 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:27 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:27 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:27 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:13:30:27 +0530] "GET /Student_management_systems/index.html HTTP/1.1" 304 -
